Ruta,Indice,Real,Imag
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i1_second_kvvec_i3_second,1,1.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i1_second_kvvec_i3_second,2,1.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i1_second_kvvec_i3_second,3,1.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i1_second_kvvec_i3_second,4,1.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i1_second_kvvec_i3_second,5,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i1_second_kvvec_i3_second,6,1.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i1_second_kvvec_i3_second,7,1.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i1_second_kvvec_i3_second,8,1.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i1_second_kvvec_i3_second,9,1.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i1_second_kvvec_i3_second,10,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i1_second,1,-0.0017898895276504028,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i1_second,2,-0.0015808156502726644,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i1_second,3,0.007849220292057252,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i1_second,4,0.01104364174737584,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i1_second,5,-0.11148821951019143,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i1_second,6,0.0116929307133289,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i1_second,7,0.019299160077899065,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i1_second,8,0.023670036939820397,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i1_second,9,0.021785128065584098,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i1_second,10,-0.09015130264383954,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i2_second,1,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i2_second,2,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i2_second,3,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i2_second,4,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i2_second,5,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i2_second,6,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i2_second,7,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i2_second,8,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i2_second,9,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i2_second,10,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i3_second,1,0.9884985842390415,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i3_second,2,0.9771908457938995,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i3_second,3,0.9757464756968535,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i3_second,4,0.9795374944931372,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i3_second,5,0.9451607106323014,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i3_second,6,0.9368547387729661,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i3_second,7,0.9407446130383799,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i3_second,8,0.9493410418236794,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i3_second,9,0.955540945305346,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i3_second,10,0.9084219809463311,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i4_second,1,0.0710316099683122,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i4_second,2,0.14305869181472572,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i4_second,3,0.13539381414638685,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i4_second,4,0.08268679753555726,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i4_second,5,0.06327819233367005,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i4_second,6,0.12241470066617366,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i4_second,7,0.11041283980773191,0.0
